op  mnemo  operand     #  bus
DD  RRC    Rd          2  -
DE  RL     Rd          2  -
DF  RLC    Rd          2  -
E0  JMP    r8          2  -
E1  JN     r8          2  -
E2  JZ     r8          2  -
E3  JC     r8          2  -
E4  JP     r8          2  -
E5  JPZ    r8          2  -
E6  JNZ    r8          2  -
E7  JNC    r8          2  -
E8  TRAP   23          1  -
E9  TRAP   22          1  -
EA  TRAP   21          1  -
EB  TRAP   20          1  -
EC  TRAP   19          1  -
ED  TRAP   18          1  -
EE  TRAP   17          1  -
EF  TRAP   16          1  -
F0  TRAP   15          1  -
F1  TRAP   14          1  -
F2  TRAP   13          1  -
F3  TRAP   12          1  -
F4  TRAP   11          1  -
F5  TRAP   10          1  -
F6  TRAP   9           1  -
F7  TRAP   8           1  -
F8  TRAP   7           1  -
F9  TRAP   6           1  -
FA  TRAP   5           1  -
FB  TRAP   4           1  -
FC  TRAP   3           1  -
FD  TRAP   2           1  -
FE  TRAP   1           1  -
FF  TRAP   0           1  -
